,Unnamed: 0,tablescraper-selected-row href,New Club Name,New Description
393,409,https://now.calpoly.edu/organization/kappasigmaslo, the nu-alpha chapter of kappa sigma," kappa sigma one large collegiate fraternity north america exemplify 17,000 undergraduate member chapter nu-alpha chapter establish goal create well gentleman leader"
394,410,https://now.calpoly.edu/organization/writerscollective, the writers ' collective, writer ' collective creative write support writer kind weekly workshop give constructive feedback person wish receive experience level genre welcome !
395,411,https://now.calpoly.edu/organization/delta-gamma, theta alpha chapter of delta gamma fraternity, primary purpose foster high ideal friendship promote educaional & cultural interest develop fine quality character
396,412,https://now.calpoly.edu/organization/theta-tau, theta tau, theta tau professional co-ed engineering fraternity group believe much-needed organization campus aspire create environment diverse group engineering student establish last bond peer
397,413,https://now.calpoly.edu/organization/thriftcalpoly, thrift cal poly club, thrift organization provide supportive inclusive close-knit community sustainable innovator crafter thrifters ’ aim grow new generation climate conscious entrepreneur want save earth
398,414,https://now.calpoly.edu/organization/tractorpull, tractor pull club, tractor pull home infamous pull tractor mustang legacy thunder student opportunity travel perform maintenance legacy thunder work together put annual royal tractor pull
399,415,https://now.calpoly.edu/organization/tqsu, transgender & queer student union, activism community building tqsu aim create space betterment lgbtq+ life
400,416,https://now.calpoly.edu/organization/trioachievers, trio achievers, trio achiever program also know student support service ( s ) fund grant u.s department education part service student since
401,417,https://now.calpoly.edu/organization/tpusa, turning point usa at cal poly, tpusa ( c ) non-profit organization whose mission identify educate train organize student promote freedom
402,418,https://now.calpoly.edu/organization/ula, undergraduate law association, undergraduate law association provide resource information law school career legal field
403,419,https://now.calpoly.edu/organization/um, united movement, united movement non-audition dance foster inclusive safe environment people background dance experience welcome grow together dancer individual
404,420,https://now.calpoly.edu/organization/uxfestslo, ux fest slo, ux fest community people interested ux design workshop social event two-weekend designathon participant learn create prototype compete solve real-world problem building portfolio
405,421,https://now.calpoly.edu/organization/veritas, veritas forum at cal poly, veritas forum help student faculty ask life 's hardest question many world 's lead university found answer big `` `` question mission help confront question anew
406,422,https://now.calpoly.edu/organization/vet-science, veterinary science club, organization pre-veterinary student meet discus path vet school require well gain awareness skill need current issue veterinary field
407,423,https://now.calpoly.edu/organization/weekofwelcome, week of welcome, host new student & transition program
408,424,https://now.calpoly.edu/organization/withus, with us, u house within student affair lead team experienced researcher prevention practitioner student affair leader learn www.withus.org
409,425,https://now.calpoly.edu/organization/women_empowered, women empowered, woman empower exists welcome space discussion folk passionate feminist issue educational social focus
410,426,https://now.calpoly.edu/organization/cpwic, women in construction, recognize empower student construction industry change collaboration leadership development leverage connection
411,427,https://now.calpoly.edu/organization/wif, women in finance, illustrate range opportunity female interested finance industry promote development empowerment leadership success woman finance
412,428,https://now.calpoly.edu/organization/women-in-law, women in law, together group dedicate woman eager learn legal profession wil offer support help woman prepare legal profession provide educational environment network support woman
413,429,https://now.calpoly.edu/organization/wip, women in physics, goal provide support female physic major social event professional development conference attendance research opportunity promote benefit physic major regardless gender
414,430,https://now.calpoly.edu/organization/wish, women involved in software and hardware, wish community woman non-binary folk & ally compute major ( ee/cpe/csc/se/laes ) promote recruitment retention woman tech provide mentorship technical networking social opportunity member !
415,431,https://now.calpoly.edu/organization/womens-club-basketball, women 's club basketball, woman 's basketball team make diverse group individual previous basketball experience provide special opportunity woman participate competitive organize sport college level go mustang !
416,432,https://now.calpoly.edu/organization/backcountrysquatters, women 's outdoor adventure club : backcountry squatters, backcountry squatter commit foster participation leadership inclusivity among woman gender-queer folk within outdoor industry community
417,433,https://now.calpoly.edu/organization/futbol-club, women 's soccer, woman 's soccer group highly dedicate student athlete aim play soccer competitive level represent positive light
418,434,https://now.calpoly.edu/organization/slomotion, women 's ultimate frisbee, woman 's ultimate frisbee team travel competes tournament throughout california college team
419,435,https://now.calpoly.edu/organization/wbvc, womens club beach volleyball, woman 's beach volleyball competitive team practice 2-3 time per week participates open tournament well match ups college team
420,436,https://now.calpoly.edu/organization/wxme, women in mechanical engineering, empower support womxn mechanical engineering community event professional development
421,437,https://now.calpoly.edu/organization/zphib," xi xi chapter of zeta phi beta sorority , incorporated", objective zeta phi beta sorority incorporate foster ideal service charity scholarship civic cultural endeavor sisterhood finer womanhood
422,438,https://now.calpoly.edu/organization/ydsa, young democratic socialists of america at cal poly, ydsa dedicate well world well
423,439,https://now.calpoly.edu/organization/younglife, younglife, younglife
424,440,https://now.calpoly.edu/organization/zbtcalpoly, zeta beta tau fraternity eta mu chapter, zeta beta tau fraternity associate interfraternity council brotherhood inspire equip men lead ethical life growth service leadership
425,441,https://now.calpoly.edu/organization/ox, zeta phi chapter of theta chi fraternity, theta chi zeta phi nationally recognize chapter theta chi fraternity san luis obispo
426,442,https://now.calpoly.edu/organization/zeac, zoo and exotic animal careers club, zoo exotic animal career ( zeac ) aim help student find resource increase likelihood get job field zoo aquarium
427,443,https://now.calpoly.edu/organization/gammas, gamma zeta alpha fraternity inc. - omicron chapter, omicron chapter gamma zeta alpha fraternity inc latino interest fraternity foster environment brother succeed academically professionally uplift underrepresented community
